Product Name,Aisle,Category,Price,Store,Zip Code
Air Freshener,9,Cleaning,1.05,Kroger,48080
Aluminum Foil,2,Kitchen,1.05,Kroger,48080
apples - fresh ,1,produce ,0.79,Kroger,48080
baby food,7,baby,0.89,Kroger,48080
baby formula,7,baby,10.99,Kroger,48080
bacon ,5,meat ,1.99,Kroger,48080
bananas,1,produce ,0.98,Kroger,48080
Bandages,8,medical supplies,3.45,Kroger,48080
bandaids,1,first aid ,2.12,Kroger,48080
bar soap ,17,personal products,1.25,Kroger,48080
bath powder,17,personal products,3.99,Kroger,48080
Bath Tissue,16,,3.29,Kroger,48080
BBQ sauce ,5,BBQ supplies,2.34,Kroger,48080
beans,4,bbq supplies,2.35,Kroger,48080
beer keg ,12,party supplies,39.99,Kroger,48080
book paperback,19,news,3.55,Kroger,48080
bread crums,6,dry goods,2.99,Kroger,48080
butter,19,dairy ,1.45,Kroger,48080
cake mixes,6,baking needs,3.55,Kroger,48080
candies,9,baking ,1.99,Kroger,48080
Canned Vegetables,3,,4.59,Kroger,48080
cheese ,19,dairy ,2.43,Kroger,48080
chopped nuts ,6,,2.13,Kroger,48080
cigarettes,1,dry grocery ,9.99,Kroger,48080
cigars,1,dry grocery ,3.67,Kroger,48080
coffee,5,dry grocery ,5.90,Kroger,48080
cones,14,dry grocery ,1.99,Kroger,48080
cookie sheet ,6,bakeware,5.99,Kroger,48080
cookies ,11,dry grocery ,3.29,Kroger,48080
cookware,6,dry grocery ,2.30,Kroger,48080
cotton balls,16,personal goods,2.34,Kroger,48080
crackers,11,dry grocery ,2.03,Kroger,48080
crayons,8,art supplies,1.25,Kroger,48080
croutons,6,dry grocery ,1.45,Kroger,48080
Cups,14,,1.39,Kroger,48080
deodorant,18,personal goods ,2.03,Kroger,48080
detergent,8,laundry ,4.55,Kroger,48080
diapers ,7,baby,15.99,Kroger,48080
dishwaser detergent ,8,kitchen supplies ,6.99,Kroger,48080
distilled water,12,kitchen supplies,2.33,Kroger,48080
dog food,15,pet supplies ,11.95,Kroger,48080
doughnuts,1,bakery fresh ,0.89,Kroger,48080
Dr. Scholl's ,16,,2.50,Kroger,48080
dried bananas,6,dried food ,1.22,Kroger,48080
eggs,19,dairy ,1.09,Kroger,48080
ethnic food,4,dry grocery ,3.11,Kroger,48080
evaporated milk,6,dairy ,2.76,Kroger,48080
Facial ,16,,2.99,Kroger,48080
floor cleaner ,8,kitchen supplies ,4.55,Kroger,48080
floor wax,8,kitchen supplies ,6.55,Kroger,48080
flour,6,baking needs,3.56,Kroger,48080
foot powder ,16,personal goods,2.98,Kroger,48080
frozen dinner,13,frozen foods,3.21,Kroger,48080
frozen dinners ,13,frozen foods,4.55,Kroger,48080
frozen pie ,13,frozen bakery ,3.54,Kroger,48080
frozen pies ,12,bakery frozen,7.99,Kroger,48080
Frozen Pizza,13,,6.99,Kroger,48080
Frozen Vegetables,12,,3.49,Kroger,48080
frozen vegtables ,12,frozen foods,3.45,Kroger,48080
fruit canned ,3,dry grocery ,2.34,Kroger,48080
furniture polish ,9,household goods,3.23,Kroger,48080
grapes ,1,produce ,0.89,Kroger,48080
honey ,2,dry grocery ,3.20,Kroger,48080
ice cream ,19,,2.98,Kroger,48080
Ice Cream Toppings,14,,9.18,Kroger,48080
ink pens ,8,art supplies ,3.99,Kroger,48080
insectisides ,8,,2.87,Kroger,48080
instant breakfast ,7,,2.99,Kroger,48080
international foods ,4,,4.00,Kroger,48080
jello mix,3,dry grocery ,1.02,Kroger,48080
jelly ,2,,2.99,Kroger,48080
juice can ,3,,2.87,Kroger,48080
juice frozen ,13,,2.56,Kroger,48080
jumper cables,10,automotive ,12.89,Kroger,48080
ketchup ,5,dry grocery ,2.09,Kroger,48080
kitkat ,19,dry grocery ,4.99,Kroger,48080
Kool Aid,14,,3.49,Kroger,48080
light bulbs,9,,1.09,Kroger,48080
lighter fluid ,2,,2.98,Kroger,48080
lipstick ,15,comestics ,1.09,Kroger,48080
macaroni,5,,1.99,Kroger,48080
magazines ,19,,4.95,Kroger,48080
marshmellow creme ,6,,3.02,Kroger,48080
marshmellows,3,,2.99,Kroger,48080
matches ,2,,1.99,Kroger,48080
mayonnaise ,5,,2.12,Kroger,48080
milk ,13,,2.09,Kroger,48080
mop ,8,,3.99,Kroger,48080
mouthwash ,18,,2.98,Kroger,48080
mustard,5,,3.23,Kroger,48080
napkins ,14,,5.99,Kroger,48080
nuts snack,14,,2.99,Kroger,48080
oatmeal ,7,,3.42,Kroger,48080
oil filter ,9,automotive ,3.45,Kroger,48080
olive oil ,6,,5.44,Kroger,48080
olives ,5,,3.33,Kroger,48080
oven cleaner ,9,,4.99,Kroger,48080
pancake mix ,6,,4.59,Kroger,48080
panty hose ,18,,3.99,Kroger,48080
Paper Towels,16,,1.99,Kroger,48080
Pasta,5,,2.59,Kroger,48080
Peanut Butter,2,,1.29,Kroger,48080
Pet Food,15,,7.99,Kroger,48080
Pickles,5,,1.99,Kroger,48080
Pie Filling ,6,,4.00,Kroger,48080
Pimento,3,,2.99,Kroger,48080
Pizza Mix,4,,1.39,Kroger,48080
pizza slicer ,6,kitchen supplies ,4.99,Kroger,48080
Plastic Forks,14,,1.11,Kroger,48080
Plastic Spoons,14,,1.11,Kroger,48080
Plastic Wrap,2,,3.29,Kroger,48080
Plates,14,,2.99,Kroger,48080
Pop,11,,2.00,Kroger,48080
Popcorn,14,,1.50,Kroger,48080
poster paint,8,art supplies,2.99,Kroger,48080
Potato Chips,10,,4.29,Kroger,48080
Potatoes,4,,1.25,Kroger,48080
Powdered Milk,6,,1.99,Kroger,48080
Pudding,3,,2.53,Kroger,48080
Raisins,6,,0.99,Kroger,48080
Relish,5,,1.20,Kroger,48080
Rice,4,,3.49,Kroger,48080
Rubbermaid,8,,2.50,Kroger,48080
Salad Dressing,5,,1.20,Kroger,48080
Salt,6,,0.80,Kroger,48080
Sanitary Napkins,18,,1.00,Kroger,48080
Sauce/Gravy,3,,2.39,Kroger,48080
Sauerkraut,3,,1.20,Kroger,48080
School Supplies ,8,,1.20,Kroger,48080
Scotch Tape,8,,1.59,Kroger,48080
shampoo,17,personal goods,1.98,Kroger,48080
Shoe Care,16,,3.99,Kroger,48080
Shoe Polish,16,,1.99,Kroger,48080
Shoe Strings ,16,,1.29,Kroger,48080
Shortening,6,,3.29,Kroger,48080
Snack Crackers,11,,2.49,Kroger,48080
Soft Drinks,11,,3.56,Kroger,48080
Soup,4,,1.99,Kroger,48080
Spaghetti,5,,2.53,Kroger,48080
spam ,4,meat,2.99,Kroger,48080
Spices,6,,3.10,Kroger,48080
Starch,6,,1.10,Kroger,48080
Straws,14,,0.99,Kroger,48080
Stuffing,4,,2.49,Kroger,48080
sugar ,6,baking needs,4.56,Kroger,48080
sugar ,6,,1.30,Kroger,48080
Syrups,6,,2.59,Kroger,48080
Table Napkins,14,,1.00,Kroger,48080
Tape,8,,1.59,Kroger,48080
Tea,5,,2.99,Kroger,48080
Tissues,14,,2.42,Kroger,48080
Toilet Bowl Cleaner,9,,1.47,Kroger,48080
Tomato Paste,3,,3.67,Kroger,48080
Tomato Sauce,3,,1.45,Kroger,48080
Toothbrush,18,,3.29,Kroger,48080
Toothpaste/Brushes,18,,3.50,Kroger,48080
Toothpicks,14,,2.59,Kroger,48080
Towels,16,,3.49,Kroger,48080
Trash Bags,2,,1.39,Kroger,48080
Tuna,4,,1.39,Kroger,48080
Vinegar,6,,1.99,Kroger,48080
Vitamins,OTC,,7.00,Kroger,48080
Wax Paper,2,,2.39,Kroger,48080
Window Cleaner,9,,3.99,Kroger,48080
Wine ,12,,25.99,Kroger,48080
Air Freshener,9,Cleaning,0.80,Meijer,48066
Aluminum Foil,2,Kitchen,0.80,Meijer,48066
apples - fresh ,1,produce ,0.54,Meijer,48066
baby food,7,baby,0.64,Meijer,48066
baby formula,7,baby,10.74,Meijer,48066
bacon ,5,meat ,1.74,Meijer,48066
bananas,1,produce ,0.73,Meijer,48066
Bandages,8,medical supplies,3.20,Meijer,48066
